SiteID,DDLat,DDLong
1,34.01628551,-85.94557137
2,34.01680262,-85.92957953
3,34.01807257,-85.92402852
4,34.01428108,-85.91328515
5,34.00933431,-85.90584915
6,34.00596444,-85.90323052
7,33.9975159,-85.90323048
8,33.98876932,-85.8935841
9,33.99338299,-85.88539554
10,33.99961511,-85.88293573
11,33.9908578,-85.88332756
12,33.98761449,-85.8981915
13,33.9990964,-85.90549288
14,34.01145924,-85.91107092
15,34.01355925,-85.92179977
16,34.00822565,-85.92344695
17,33.99858897,-85.92415462
18,34.00172281,-85.92973903
19,34.00891505,-85.9275209
20,34.01500363,-85.9260727
21,34.01572051,-85.94111653
22,34.01210059,-85.93846803
23,34.01436952,-85.94040426
24,34.01236499,-85.94901232
25,34.01063806,-85.95522414
26,34.00719688,-85.95680718
27,34.01054997,-85.96464629
28,34.01719545,-85.97772954
29,34.01826296,-85.9888284
30,34.01256544,-85.9945184
31,34.00530715,-85.9992684
32,33.99501705,-85.99977852
33,33.99581705,-85.99383139
34,33.98346575,-85.99794196
35,33.97843336,-85.99412534
36,33.97008002,-85.98417974
37,33.97308528,-85.97917557
38,33.96399742,-85.97012871
39,33.966921,-85.96429853
40,33.95959794,-85.96293012
41,33.95791902,-85.96367204
42,33.95273164,-85.95827413
43,33.94967998,-85.95514884
44,33.95914295,-85.95627928
45,33.94844029,-85.95134739
46,33.93932905,-85.95093867
47,33.93360177,-85.95417948
48,33.93127289,-85.96998798
49,33.92832637,-85.98369413
50,33.93405915,-85.99320838
51,33.94244957,-86.00531957
52,33.94287632,-86.01391303
53,33.94443643,-86.01982404
54,33.93686054,-86.02179289
55,33.93892098,-86.02896857
56,33.93525302,-86.0319258
57,33.93310833,-86.0304162
58,33.92613424,-86.04277462
59,33.92074898,-86.05445562
60,33.91679264,-86.06017531
61,33.91322137,-86.06218007
62,33.90271324,-86.06921664
63,33.90025294,-86.06523263
64,33.89083695,-86.06408546
65,33.88197744,-86.05206192
66,33.88418897,-86.05015104
67,33.88663442,-86.04866362
68,33.8858574,-86.04491396
69,33.88276337,-86.04180611
70,33.87898657,-86.0409414
71,33.87195876,-86.05455109
72,33.86547084,-86.06186689
73,33.85859905,-86.05218741
74,33.8590745,-86.04381273
75,33.8473324,-86.05024701
76,33.84068838,-86.06346255
77,33.83680058,-86.05161749
78,33.83221368,-86.04883187
79,33.83002654,-86.0456985
80,33.82597368,-86.04563492
81,33.81720088,-86.05499323
82,33.81840407,-86.04780647
83,33.81580705,-86.0404117
84,33.81326834,-86.03991357
85,33.81677395,-86.05132649
86,33.81125326,-86.06176509
87,33.80388358,-86.05562737
88,33.79843895,-86.05704445
89,33.79294474,-86.05583841
90,33.79167422,-86.05046446
91,33.78712945,-86.05288195
92,33.78433463,-86.06472162
93,33.78070822,-86.07290034
94,33.78912488,-86.0719763
95,33.79115824,-86.08377878
96,33.79135072,-86.07857039
97,33.78956151,-86.0677914
98,33.79642056,-86.06634637
99,33.79982434,-86.07441521
100,33.80549759,-86.07971097
101,33.80626246,-86.06637535
102,33.81217166,-86.07207726
103,33.81141801,-86.08779813
104,33.8063268,-86.10240601
105,33.81020276,-86.09668973
106,33.81577185,-86.09011654
107,33.81778129,-86.0775667
108,33.81570166,-86.06985347
109,33.82028766,-86.0686669
110,33.82416991,-86.06041394
111,33.83253205,-86.05894366
112,33.8395983,-86.07069442
113,33.83884119,-86.08613845
114,33.83356449,-86.09962958
115,33.8348387,-86.10162394
116,33.83892374,-86.09215367
117,33.84614591,-86.08079352
118,33.84444991,-86.07368564
119,33.84618237,-86.06321613
120,33.85119626,-86.06214484
121,33.85688558,-86.06232324
122,33.86473746,-86.07221174
123,33.86006546,-86.08628868
124,33.85683154,-86.10149534
125,33.85399475,-86.11456923
126,33.85900013,-86.12356513
127,33.85571768,-86.11126204
128,33.85866878,-86.10396585
129,33.86196687,-86.09977976
130,33.87071665,-86.10510928
131,33.86948856,-86.11428236
132,33.87512005,-86.11108859
133,33.87868577,-86.10679074
134,33.88663554,-86.11555539
135,33.89786459,-86.11006479
136,33.90062846,-86.11833636
137,33.89994097,-86.1306918
138,33.89772939,-86.14205275
139,33.89778199,-86.14113942
140,33.89902492,-86.13856985
141,33.90355821,-86.12781944
142,33.9040462,-86.11415925
143,33.90676013,-86.1213202
144,33.91158528,-86.11285468
145,33.90917689,-86.11107415
146,33.8983706,-86.10871393
147,33.89109478,-86.10688273
148,33.88357121,-86.10637089
149,33.88176218,-86.10291505
150,33.87848292,-86.09408486
151,33.87159227,-86.09448401
152,33.86716819,-86.0897003
153,33.8671674,-86.08624644
154,33.86829917,-86.07296373
155,33.87277157,-86.07181448
156,33.87354652,-86.06728982
157,33.87654408,-86.05811814
158,33.88718297,-86.06763183
159,33.89796963,-86.07467808
160,33.90880466,-86.07434223
161,33.91919985,-86.06504552
162,33.92745544,-86.05284614
163,33.93514425,-86.04003503
164,33.9436319,-86.02747206
165,33.95067392,-86.01422302
166,33.95051376,-86.00862897
167,33.94785554,-86.00372858
168,33.94047631,-85.99128436
169,33.93508195,-85.98240997
170,33.93680746,-85.97775535
171,33.93315052,-85.97156927
172,33.93505183,-85.96899716
173,33.94245937,-85.96056466
174,33.9376577,-85.96067845
175,33.9358191,-85.95506192
176,33.94780188,-85.95957091
177,33.957415,-85.96939755
178,33.96154529,-85.97634604
179,33.96750588,-85.98441485
180,33.9743654,-85.99532949
181,33.97750021,-86.0066114
182,33.97903028,-86.00528204
183,33.98153305,-86
184,33.98812652,-86.00530123
185,33.98327268,-86.0087605
186,33.97853109,-86.0222759
187,33.97073998,-86.03207656
188,33.97779244,-86.03330889
189,33.97663461,-86.02932492
190,33.9822339,-86.02702041
191,33.98527896,-86.02538327
192,33.98660574,-86.02820402
193,33.98558586,-86.01840626
194,33.99622192,-86.0228399
195,34.00096557,-86.01879434
196,33.99727,-86.00936808
197,33.9918068,-86.01125551
198,33.99031712,-86.00200125
199,33.99519941,-86.00106921
200,34.00848403,-86
201,34.01700722,-85.99140308
202,34.02516954,-85.98260592
203,34.02306565,-85.98013362
204,34.02256822,-85.98540564
205,34.02027799,-85.97818919
206,34.01282815,-85.96748074
207,34.01375566,-85.95563762
208,34.02025393,-85.95946262
209,34.02140403,-85.953228
210,34.02598688,-85.94707751